col1,col2
0.90734,0.99088
0.90736,0.988266
0.90738,0.979427
0.9074,0.939917
0.90742,0.791551
0.90744,0.606328
0.90746,0.706796
0.90748,0.901022
0.9075,0.970624
0.90752,0.984492
0.90754,0.979365
0.90756,0.969017
0.90758,0.978062
0.9076,0.989377
0.90762,0.989137
0.90764,0.965769
0.90766,0.874688
0.90768,0.798152
0.9077,0.885395
0.90772,0.970763
0.90774,0.992112
0.90776,0.996103
0.90778,0.997496
0.9078,0.998211
0.90782,0.99869
0.90784,0.999035
0.90786,0.999061
0.90788,0.999181
0.9079,0.999612
0.90792,0.999898
0.90794,0.999956
0.90796,0.999842
0.90798,0.99966
0.908,0.99944
0.90802,0.999062
0.90804,0.998462
0.90806,0.997633
0.90808,0.996307
0.9081,0.991857
0.90812,0.971058
0.90814,0.925711
0.90816,0.905022
0.90818,0.892849
0.9082,0.871194
0.90822,0.796014
0.90824,0.775221
0.90826,0.898114
0.90828,0.963267
0.9083,0.964766
0.90832,0.965329
0.90834,0.940262
0.90836,0.813135
0.90838,0.700888
0.9084,0.818303
0.90842,0.947663
0.90844,0.984744
0.90846,0.992574
0.90848,0.995368
0.9085,0.996809
0.90852,0.99782
0.90854,0.998324
0.90856,0.997682
0.90858,0.996183
0.9086,0.996666
0.90862,0.998241
0.90864,0.998939
0.90866,0.999053
0.90868,0.999048
0.9087,0.998987
0.90872,0.998745
0.90874,0.997778
0.90876,0.992556
0.90878,0.976935
0.9088,0.970526
0.90882,0.984551
0.90884,0.991219
0.90886,0.9838
0.90888,0.940742
0.9089,0.846399
0.90892,0.779893
0.90894,0.676163
0.90896,0.695011
0.90898,0.879614
0.909,0.970027
0.90902,0.989117
0.90904,0.993958
0.90906,0.995855
0.90908,0.996738
0.9091,0.997587
0.90912,0.997769
0.90914,0.997576
0.90916,0.997534
0.90918,0.995899
0.9092,0.983092
0.90922,0.946821
0.90924,0.936461
0.90926,0.95671
0.90928,0.953214
0.9093,0.969056
0.90932,0.99114
0.90934,0.997675
0.90936,0.998644
0.90938,0.998088
0.9094,0.997025
